,link
0,bangladesh
1,portsmouth
2,england
3,india
4,pompeii
5,spain
6,danube
7,hong kong
8,oil refinery
9,amsterdam
10,leonardo da vinci
11,italian
12,raphael
13,william hogarth
14,palace of westminster
15,augustus
16,sculpture
17,eastern
18,christian
19,jewish
20,hindu
21,islamic
22,buddhist
23,shinto
24,sikh
25,baha'i
26,science
27,geometry
28,ludwig van beethoven
29,frédéric chopin
30,felix mendelssohn
31,richard wagner
32,francisco goya
33,china
34,japan
35,japanese
36,coventry
37,st paul's cathedral
38,manchester
39,"geneva, switzerland"
40,berlin
41,dorset
42,australia
43,sahara
44,kashmir
45,allah
46,arabic
47,mecca
48,pakistan
49,16th century
50,jerusalem
51,italy
52,athens
53,greece
54,prague
55,george w. bush
56,oslo
57,norway
58,dalai lama
59,bishop tutu
60,vancouver
61,canada
62,carbon dioxide
63,industrial revolution
64,ice age
65,henry james
66,westminster abbey
67,earth's atmosphere
68,soviet union
69,vienna
70,london
71,wimbledon
72,helium
73,fig. 5
74,fig. 2
75,united states
76,bodyline
77,peter paul rubens
78,"national gallery, london"
79,warsaw
80,munich
81,agamemnon
82,odysseus
83,ezra pound
84,national gallery
85,lake tahoe
86,canterbury cathedral
87,andrew johnson
88,grover cleveland
89,condoleezza rice
90,beijing
91,california
92,boston
93,x11
94,british empire
95,guadeloupe
96,cassini
97,esa
98,jesus
99,sea of galilee
100,jazz
101,magnet
102,pope john paul ii
103,sequoia
104,sphere
105,roman
106,sweden
107,michelangelo
108,poland
109,france
110,henry moore
111,inca
112,zeus
113,himalayan
114,mount everest
115,charlemagne
116,chicago
117,russian
118,german
119,dutch
120,belgian
121,20th century
122,mona lisa
123,sultan
124,ottoman empire
125,canberra
126,honduras
127,papua new guinea
128,niger
129,granite
130,airbus a380
131,lunar
132,peregrine falcon
133,poem
134,piano
135,barn owl
136,vincent van gogh
137,pacific ocean
138,southern ocean
139,bucharest
140,akbar
141,18th century
142,hammurabi's code of laws
143,jacques-louis david
144,egyptian
145,denmark
146,richard
147,garter
148,mark webber
149,magna carta
150,ariel sharon
151,jordan
152,president of the united states
153,new york city
154,st. petersburg
155,tokyo
156,ronald reagan
157,"washington, d.c."
158,dublin
159,kievan
160,chocolate
161,santorini
162,gold
163,oils
164,cholera
165,florence nightingale
166,moon
167,new zealand
168,engineered
169,living systems
170,optical microscope
171,rome
172,switzerland
173,trafalgar square
174,order of the garter
175,edinburgh
176,louis armstrong
177,jupiter
178,roman god
179,romania
180,sermon on the mount
181,first council of nicaea
182,åland
183,modern iran.
184,music
185,czech republic
186,isle of wight
187,charles ii
188,karl marx
189,mumbai
190,nepal
191,11th century
192,mahabharata
193,qur'an
194,latin
195,bible
196,belgium
197,belfast
198,northern ireland
199,lyndon b. johnson
200,"martin luther king, jr."
201,aral sea
202,mediterranean
203,faroe islands
204,saladin
205,hiv
206,pope
207,tutu
208,heraldry
209,euro
210,croatia
211,luxembourg
212,finland
213,latin alphabet
214,cyprus
215,bulgaria
216,orthodox christianity
217,football
218,barcelona
219,united states house of representatives
220,thunderstorm
221,energy
222,light
223,nikola tesla
224,michael faraday
225,president
226,bush
227,homer
228,cornell university
229,university of chicago
230,thomas cranmer
231,books of common prayer
232,prince george
233,king george v
234,king edward viii
235,king george vi
236,trinity college
237,cambridge
238,larger image
239,scene
240,world heritage site
241,cambodia
242,palladian
243,hot air balloon
244,peter grimes
245,queen victoria
246,trumpet
247,chinese
248,kuwaiti
249,wales
250,the last supper
251,póvoa de varzim
252,portugal
253,max weber
254,international court of justice
255,the hague
256,european parliament
257,popular vote
258,brazil
259,democracy
260,united nations
261,tour de france
262,beer
263,tony blair
264,robert peel
265,albrecht dürer
266,rembrandt
267,jakarta
268,indonesia
269,paris
270,francis of assisi
271,hitler
272,nazism
273,communism
274,octavian
275,romulus augustus
276,byzantine empire
277,colley cibber
278,germany
279,sculptures
280,europe
281,édouard manet
