path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top
ship;20th century;technology;computer;internet;world wide web;google;gmail,ship,gmail,7,4,1,5,0,1,1,1,4,"[0.04568647257611673, 0.13216029834772247, 0.10778705423921779, 0.15508945232527868, 0.3934715901446399, 0.08608079564840988, 0.41028130832026033]","[0.0061036820584928365, 0.009960172934035226, 0.020837799568278602, 0.029435142939120574, 0.07827550601849322, 0.07853038386322857, 0.41028130832026033, 1.0000000000000013]","[True, False, True, True, False, True]","[True, True, True, True, True, True, True]",False,True,7.0,-125.28571428571428,103.11597723876142,-322.0,-158.0,-123.0,-46.5,-23.0,6.0,49.833333333333336,70.06116375472696,-32.0,12.75,28.0,86.75,161.0,1,0,0,1,0.04672080147950034
whooping crane;chordate;vertebrate;bird;turkey (bird);africa;desert;animal,whooping crane,vulture,7,4,0,3,1,2,0,2,2,"[0.024486527005266462, 0.45276746989343386, 0.10803217840362948, 0.11547248140031423, 0.0336962585582978, 0.05931152723055247, 0.02397726512459887]","[0.030102348351689054, 0.1141253798524901, 0.08063118234257143, 0.06409316059672879, 0.02064069709805032, 0.027118296960048503, 0.02397726512459887, 1.0]","[True, False, True, False, True, False]","[True, False, False, False, True, False, True]",False,False,7.0,-281.85714285714283,183.5968668681727,-513.0,-416.5,-263.0,-155.0,-54.0,6.0,-28.333333333333332,299.382475550368,-428.0,-236.0,-4.0,216.75,289.0,0,0,0,0,0.046710019444584
zinc;iron;earth;planet;gliese 876;gliese 876 c,zinc,gliese 876 c,5,4,1,3,0,2,1,0,5,"[0.07389132328314515, 0.07369636742221027, 0.27185376332025557, 0.30196563689052336, 0.852169313458027]","[0.006807107097457541, 0.012015525840001862, 0.11655798026962207, 0.23281583759601565, 0.852169313458027, 1.0000000000000002]","[False, True, True, True]","[True, True, True, True, True]",False,True,5.0,-164.4,128.55854697374266,-324.0,-238.0,-192.0,-49.0,-19.0,4.0,54.75,106.73760661859842,-86.0,1.0,81.0,134.75,143.0,1,0,0,1,0.07299004881546095
indian standard time;india;united nations;russian language;belarus;flag of belarus,indian standard time,flag of belarus,5,4,1,1,2,0,2,1,3,"[0.24871360242731277, 0.1019182787296828, 0.07622102499613313, 0.20805477585522122, 0.4738399014988928]","[0.030126793381039147, 0.04101511922992793, 0.05157425159065673, 0.07259031414732617, 0.4738399014988928, 1.000000000000001]","[False, False, True, True]","[True, True, True, True, True]",False,True,5.0,-292.4,227.10195948075835,-622.0,-410.0,-239.0,-137.0,-54.0,4.0,142.0,60.06108002136936,83.0,97.25,136.5,181.25,212.0,0,0,0,0,0.07299587226597859
amtrak;united states;potato;flower;bee;honey bee,amtrak,honey bee,5,4,1,3,0,0,1,2,3,"[0.11731702602868647, 0.03624514605331169, 0.06391876188592771, 0.2549472266783, 0.5919331909866956]","[0.0060654959728662075, 0.03817117493064966, 0.015414498559582527, 0.17099387694123191, 0.5919331909866956, 0.9999999999999992]","[False, True, True, True]","[True, False, True, True, True]",False,False,5.0,-422.0,667.8865921696587,-1596.0,-335.0,-112.0,-49.0,-18.0,4.0,394.5,583.7405245483648,31.0,55.0,143.0,482.5,1261.0,1,0,0,1,0.06295185770906835
great pyramid of giza;mathematics;computer science;computer programming;linux;open source;openoffice.org,great pyramid of giza,openoffice.org,6,4,1,2,2,2,1,0,3,"[0.02828177913904269, 0.22923957168989784, 0.31068229556471755, 0.12617729059859992, 0.15516770404242117, 0.11750250808139012]","[0.010121555747625126, 0.018213432747365636, 0.041903223416957056, 0.07921646118287377, 0.10709609376860053, 0.11750250808139012, 1.0000000000000004]","[True, True, False, True, False]","[True, True, True, True, True, True]",False,True,6.0,-63.833333333333336,57.12238323692969,-162.0,-89.0,-39.0,-22.75,-20.0,5.0,28.4,42.46527993549554,-28.0,2.0,31.0,61.0,76.0,0,0,0,0,0.06294375589688771
blue peter;elizabeth ii of the united kingdom;india;nepal;mount everest;tenzing norgay,blue peter,tenzing norgay,5,4,1,3,2,0,0,1,5,"[0.06664665887150585, 0.06248808306095894, 0.19582058056103302, 0.19319343122441662, 0.5183066057558224]","[0.01222310943314074, 0.01860397798057637, 0.05015557030854974, 0.12166772154794285, 0.5183066057558224, 1.0000000000000007]","[False, True, False, True]","[True, True, True, True, True]",False,True,5.0,-216.8,280.1387156392347,-709.0,-152.0,-139.0,-54.0,-30.0,4.0,27.25,462.73057315605735,-570.0,-124.5,61.0,212.75,557.0,1,0,0,1,0.0726009093546457
potassium nitrate;gunpowder;middle east;africa;elephant;ivory,potassium nitrate,ivory,5,4,1,2,1,0,1,2,2,"[0.18238663310118428, 0.02040904795825689, 0.14795139748095704, 0.0900229486116149, 0.2277137686849164]","[0.012743456515657444, 0.00844299995417016, 0.009294471830090547, 0.04928995436800932, 0.2277137686849164, 1.000000000000001]","[False, True, False, True]","[False, True, True, True, True]",False,False,5.0,-224.4,209.2159171764902,-558.0,-254.0,-214.0,-65.0,-31.0,4.0,-8.5,305.3266010902642,-344.0,-223.25,3.0,217.75,304.0,0,0,0,0,0.07259755311457952
visual arts;film;sound;music;musical instrument;clarinet;bassoon,visual arts,bassoon,6,4,1,4,0,3,0,0,5,"[0.09289453500624181, 0.05991435228411705, 0.06581091050574377, 0.11652589303264341, 0.16199098744806634, 0.1424873499970056]","[0.017463705689658778, 0.017825144604648284, 0.02110089553833207, 0.051990000968520106, 0.13201801907849647, 0.1424873499970056, 1.0000000000000067]","[False, True, True, True, False]","[True, True, True, True, True, True]",False,True,6.0,-70.16666666666667,50.72047581269981,-153.0,-94.0,-61.0,-31.75,-19.0,5.0,26.8,55.21503418454072,-50.0,6.0,32.0,45.0,101.0,1,0,0,1,0.06259866938687587
millard fillmore;europe;germany;carl friedrich gauss;mathematical analysis;differential equation,millard fillmore,differential equation,5,4,1,0,1,0,3,2,4,"[0.017455031340371033, 0.28022349835787147, 0.05200675181391487, 0.06815441996583926, 0.24594297041915766]","[0.0023649370669272195, 0.00517835858708864, 0.00840455338047975, 0.03928799867337101, 0.24594297041915766, 1.0000000000000024]","[True, False, True, True]","[True, True, True, True, True]",False,True,5.0,-419.6,464.37840173720394,-947.0,-900.0,-184.0,-34.0,-33.0,4.0,228.25,331.297826736005,-1.0,35.0,99.0,292.25,716.0,0,1,0,0,0.06259854137669972
